2PA,2P%,3PA,3P%,FTA,FT%,TRB,AST,STL,BLK,TOV,HGT,WGT,POS
4.8,.438,2.1,.307,3.2,.679,3.6,5.2,2.0,0.4,2.3,198,83,PG
4.2,.509,2.0,.340,2.5,.685,3.7,4.7,2.0,0.4,2.5,196,83,PG
5.6,.593,0.0,0,2.8,.508,6.2,0.9,1.1,2.2,1.2,213,108,C
5.9,.485,3.0,.372,4.3,.820,5.7,1.1,0.4,0.3,1.9,206,106,PF
4.4,.545,3.9,.419,3.2,.767,2.8,3.8,2.6,0.4,2.4,185,86,PG
8.8,.487,2.6,.303,3.0,.659,7.1,1.2,0.7,1.5,1.8,203,99,SF
8.2,.568,1.8,.350,3.8,.682,5.4,0.8,0.9,1.6,2.0,206,102,PF
4.6,.563,6.0,.425,2.0,.810,2.9,2.2,1.2,0.2,2.1,190,79,SG
8.4,.485,3.2,.322,5.2,.805,3.3,2.7,0.9,0.3,2.7,196,87,SG
6.0,.473,5.9,.362,4.4,.698,5.2,1.7,1.3,0.6,1.6,193,83,SG
8.0,.540,1.8,.288,4.4,.612,4.7,2.0,1.3,0.6,1.9,198,79,SG
8.2,.602,0.0,0,4.9,.729,7.0,0.4,0.5,1.2,1.4,208,98,PF
4.8,.672,0.5,.476,3.8,.743,5.9,0.4,0.5,1.8,1.5,213,104,C
8.5,.495,0.8,.280,4.9,.642,7.5,5.0,1.6,0.4,2.6,198,95,SF
5.7,.494,2.7,.435,2.9,.851,2.3,4.1,1.6,0.1,2.4,185,72,PG
6.2,.579,1.8,.304,3.7,.694,3.4,6.1,2.2,0.3,2.2,185,81,PG
3.2,.549,5.0,.386,1.5,.777,5.9,1.8,0.7,0.5,1.0,196,98,SG
4.2,.492,4.4,.375,2.2,.853,2.7,3.6,1.1,0.1,1.4,188,83,PG
5.9,.475,3.5,.365,4.6,.702,4.7,1.8,1.1,0.8,1.7,196,87,SG
5.3,.601,0.0,0,2.8,.663,6.4,0.5,0.4,0.9,0.9,206,111,PF
4.1,.576,0.1,0,1.8,.713,4.7,0.8,0.4,1.1,0.7,206,111,C
9.6,.565,0.2,.167,7.1,.604,9.8,1.0,1.0,1.8,2.1,211,122,C
7.4,.502,3.7,.422,3.4,.802,7.4,1.2,1.5,1.3,2.3,206,97,SF
6.6,.500,5.6,.382,3.3,.819,5.7,2.2,0.9,0.6,1.9,198,95,SG
6.9,.495,6.9,.330,3.8,.671,7.2,1.8,1.1,0.8,2.6,198,97,SF
9.1,.468,5.9,.327,3.0,.784,2.8,4.5,1.1,0.9,3.1,198,83,SG
8.0,.494,4.4,.384,3.3,.765,4.1,2.6,1.2,0.2,2.2,193,88,SG
6.5,.581,4.1,.350,4.0,.683,7.6,1.8,1.9,0.9,1.0,198,106,SF
7.0,.525,0.0,0,3.2,.693,5.9,1.0,1.2,0.8,1.8,206,104,SF
8.3,.530,9.7,.412,5.3,.876,4.5,3.7,2.1,0.3,3.0,190,83,PG
0.9,.404,5.2,.386,0.7,.782,2.1,0.4,0.6,0.1,0.6,193,90,SG
8.0,.470,3.6,.311,3.3,.728,4.4,2.3,1.6,0.3,2.0,188,92,PF
5.7,.598,0.0,0,1.1,.605,5.5,0.7,0.3,1.8,0.9,208,111,C
6.3,.548,0.0,0,3.7,.623,7.7,0.7,0.4,2.1,1.4,208,102,C
5.7,.528,0.1,.000,1.7,.614,6.4,0.5,0.9,1.7,1.5,213,115,C
5.3,.591,3.6,.348,2.8,.695,5.0,1.3,0.6,0.5,1.0,206,104,PF
6.3,.432,5.3,.363,6.3,.845,3.5,4.0,1.3,0.2,2.8,190,86,PG
4.9,.456,5.6,.378,4.0,.860,3.4,5.6,1.1,0.1,2.5,193,86,PG
8.9,.515,3.0,.360,3.7,.710,6.9,1.8,1.3,1.1,2.2,203,99,SF
9.5,.562,1.0,.167,4.2,.646,5.7,1.5,0.9,0.4,2.1,201,99,SG
2.1,.569,0.0,0,1.0,.556,2.5,0.0,0.3,0.9,0.6,206,98,PF
6.0,.546,0.0,0,2.7,.640,7.9,1.2,1.0,2.6,1.6,211,111,C
4.6,.446,3.5,.386,5.9,.830,3.3,2.6,1.1,0.3,1.8,198,90,PG
5.1,.493,5.0,.416,3.9,.732,3.9,1.8,0.8,0.1,1.7,193,81,SG
5.6,.535,4.8,.380,1.9,.796,5.0,1.1,0.8,0.2,1.1,196,94,SG
6.8,.484,3.4,.344,4.5,.718,4.1,3.8,1.2,0.6,3.1,193,83,SG
7.4,.442,2.7,.277,2.8,.579,3.9,2.4,1.3,0.3,2.4,201,83,PG
8.5,.541,0.1,.000,2.6,.295,7.6,0.4,0.8,2.7,1.5,208,122,C
8.0,.548,2.5,.365,6.0,.731,7.2,3.0,1.4,0.3,2.1,201,102,PF
7.8,.476,2.2,.354,4.5,.693,5.1,5.8,2.2,0.4,3.3,190,92,PG
12.7,.505,5.8,.404,7.3,.816,11.1,1.3,1.9,1.9,2.8,206,97,SF
3.8,.407,4.3,.365,2.2,.812,4.6,1.1,0.3,0.5,1.5,201,99,SF
10.0,.495,3.2,.288,5.8,.749,9.7,1.8,0.8,1.5,2.4,208,111,PF
6.6,.513,5.0,.397,2.5,.809,4.1,2.2,0.9,0.1,1.5,193,90,SG
5.9,.639,0.2,.200,5.1,.685,8.1,1.4,0.9,2.6,2.4,213,113,C
4.9,.611,4.1,.354,3.6,.788,5.4,2.4,1.7,1.0,2.5,201,95,SF
8.1,.429,2.5,.353,4.4,.765,3.4,5.5,2.1,0.2,1.7,188,81,PG
10.2,.458,2.5,.407,5.1,.818,3.8,5.8,1.5,0.1,2.7,183,79,PG
4.7,.654,0.2,.364,2.2,.684,5.9,0.5,0.6,1.7,1.0,206,88,SF
10.3,.514,3.4,.274,5.2,.711,5.4,3.9,2.1,0.8,3.6,198,99,PG
10.0,.572,0.1,0,5.6,.583,12.3,0.9,1.7,1.8,2.2,203,103,PF
8.1,.613,0.0,.000,4.0,.629,8.4,1.0,0.9,2.1,2.5,208,111,C
5.1,.467,4.6,.375,3.5,.731,4.1,6.9,1.9,0.3,3.6,185,89,PG
4.9,.449,3.8,.362,3.2,.657,7.1,1.9,0.8,0.7,1.8,203,98,PF
3.7,.470,5.4,.435,2.5,.821,2.5,1.3,0.6,0.1,1.2,190,79,SG
10.5,.521,1.9,.246,5.9,.736,4.0,4.6,1.5,0.2,2.4,190,84,PG
7.2,.445,1.8,.310,4.3,.774,3.9,4.7,1.5,0.1,2.6,185,77,PG
9.3,.568,0.2,0,3.7,.759,7.3,1.3,0.6,1.9,1.4,211,112,C
12.5,.502,5.0,.413,6.7,.649,5.7,5.9,1.6,1.2,3.2,193,88,SG
5.2,.452,6.1,.426,3.1,.821,4.5,2.2,1.3,0.5,1.2,188,91,SG
8.5,.483,2.3,.378,3.8,.721,5.9,1.8,1.3,1.7,2.2,206,99,PF
6.5,.485,4.9,.396,4.2,.803,6.7,2.4,2.0,0.9,2.7,201,95,SF
7.3,.474,2.9,.329,4.8,.749,4.5,2.2,0.9,0.2,1.7,196,97,SG
4.3,.480,5.0,.398,2.2,.758,1.9,1.8,1.0,0.0,1.6,188,81,PG
8.2,.580,0.0,0,4.6,.629,8.5,1.4,0.7,2.4,2.5,206,102,PF
8.9,.513,1.2,.356,4.7,.422,8.0,2.0,0.9,1.0,1.4,206,102,PF
6.8,.525,6.5,.337,8.7,.834,3.3,2.4,1.3,0.6,3.6,190,100,SG
6.2,.483,4.0,.354,4.6,.691,5.8,1.4,0.8,0.2,1.4,198,99,SG
5.1,.496,0.3,.300,3.5,.641,4.7,0.9,0.6,0.5,0.9,203,95,PF
6.4,.498,4.4,.345,4.8,.790,2.9,5.8,1.5,0.3,2.2,196,92,PG
5.3,.453,1.8,.216,2.0,.651,2.2,2.9,1.3,0.0,2.4,185,82,PG
4.1,.522,3.4,.375,1.6,.845,4.1,1.8,1.1,1.1,1.4,196,95,SG
6.3,.496,1.7,.361,3.4,.687,7.6,2.9,1.2,0.8,1.9,201,104,PF
